#,Name,Date of birth,From,Died in the area of,Rank,Military Unit,Sources
1085,Serhiy Hrytsenko Ivanovych,"March 16, 1973",Kharkiv Oblast,Zhytomyr Oblast,Sergeant,Battalion 1,"https://example6.com, https://example10.com, https://example9.com"
1086,Mykola Zinchenko Oleksandrovych,"February 21, 1985","Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Kharkiv Oblast,Private,Infantry,"https://example3.com, https://example6.com, https://example4.com, https://example6.com, https://example3.com"
1087,Serhiy Sakalo Mykhailovych,"February 05, 1972",Lviv Oblast,"Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast",Lieutenant,Battalion 1,"https://example10.com, https://example3.com, https://example4.com, https://example4.com, https://example1.com"
1088,Volodymyr Lysenko Mykolayovych,"March 05, 1975",Lviv Oblast,"Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast",Private,Recon Squad,"https://example8.com, https://example6.com, https://example7.com, https://example10.com, https://example2.com, https://example9.com"
1089,Mykola Bondarenko Vasyl'ovych,"March 25, 2000",Kharkiv Oblast,Donetsk Oblast,Colonel,Infantry,"https://example10.com, https://example9.com, https://example10.com, https://example8.com, https://example3.com"
1090,Serhiy Hrytsenko Mykolayovych,"October 12, 1973",Odesa Oblast,Lviv Oblast,Captain,Battalion 1,"https://example2.com, https://example1.com, https://example9.com"
1091,Andrij Kravchenko Vasyl'ovych,"April 10, 1971",Kharkiv Oblast,"Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast",Colonel,Battalion 1,"https://example3.com, https://example4.com, https://example7.com"
1092,Serhiy Bondarenko Ivanovych,"August 17, 1979",Zhytomyr Oblast,"Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Major,Special Forces,"https://example7.com, https://example1.com, https://example1.com, https://example8.com, https://example9.com, https://example10.com, https://example10.com"
1093,Ihor Zinchenko Mykolayovych,"August 12, 1979","Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast",Donetsk Oblast,Captain,Battalion 2,"https://example8.com, https://example4.com, https://example9.com, https://example9.com, https://example6.com, https://example1.com, https://example9.com, https://example1.com"
1094,Serhiy Kravchenko Mykolayovych,"October 29, 1991",Zhytomyr Oblast,"Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast",Senior soldier,Recon Squad,"https://example6.com, https://example9.com, https://example9.com, https://example9.com, https://example9.com, https://example10.com, https://example1.com"
1095,Serhiy Kravchenko Mykhailovych,"April 05, 1979",Donetsk Oblast,Odesa Oblast,Colonel,Battalion 2,"https://example9.com, https://example6.com, https://example5.com, https://example7.com"
1096,Volodymyr Bibikov Mykolayovych,"February 15, 1980",Chernivtsi Oblast,"Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast",Lieutenant,Unknown,"https://example8.com, https://example8.com, https://example9.com, https://example9.com, https://example10.com, https://example9.com, https://example3.com"
1097,Ihor Shevchenko Volodymyrovych,"April 21, 2000","Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast","Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast",Sergeant,Unknown,"https://example1.com, https://example10.com, https://example5.com, https://example7.com"
1098,Mykola Shevchenko Yuriyovych,"June 20, 1966",Donetsk Oblast,Zhytomyr Oblast,Major,Recon Squad,"https://example3.com, https://example5.com, https://example6.com, https://example1.com, https://example5.com, https://example7.com"
1099,Roman Lysenko Volodymyrovych,"January 06, 1963",Zhytomyr Oblast,"Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast",Colonel,Battalion 1,"https://example8.com, https://example5.com, https://example9.com, https://example8.com, https://example10.com, https://example10.com, https://example8.com"
1100,Mykola Kravchenko Romanovych,"May 02, 1973",Kyiv Oblast,Zhytomyr Oblast,Colonel,Recon Squad,"https://example2.com, https://example3.com, https://example2.com, https://example4.com, https://example4.com"
1101,Andrij Bondarenko Ivanovych,"October 25, 1995",Donetsk Oblast,Kyiv Oblast,Lieutenant,Recon Squad,"https://example6.com, https://example5.com, https://example4.com"
1102,Serhiy Sakalo Vasyl'ovych,"December 22, 1975",Kyiv Oblast,Kharkiv Oblast,Senior soldier,Battalion 1,"https://example2.com, https://example3.com, https://example6.com, https://example7.com, https://example6.com, https://example7.com, https://example8.com"
1103,Oleh Kravchenko Volodymyrovych,"July 15, 1983",Lviv Oblast,"Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast",Senior soldier,Infantry,"https://example8.com, https://example7.com, https://example1.com"
1104,Serhiy Kravchenko Yuriyovych,"January 08, 1991","Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast","Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast",Sergeant,Battalion 2,"https://example1.com, https://example10.com, https://example6.com, https://example8.com, https://example9.com, https://example2.com, https://example4.com"
1105,Yuriy Lysenko Ivanovych,"March 09, 1982","Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Kyiv Oblast,Senior soldier,Battalion 2,"https://example2.com, https://example8.com, https://example10.com, https://example4.com, https://example7.com, https://example9.com"
1106,Oleksandr Kravchenko Serhiyovych,"January 24, 1988",Zhytomyr Oblast,Lviv Oblast,Senior soldier,Recon Squad,"https://example1.com, https://example9.com, https://example8.com, https://example10.com"
1107,Volodymyr Bibikov Vasyl'ovych,"June 16, 1987",Lviv Oblast,Kyiv Oblast,Captain,Battalion 2,"https://example6.com, https://example5.com, https://example9.com, https://example7.com, https://example5.com, https://example2.com, https://example3.com, https://example1.com"
1108,Dmytro Sakalo Volodymyrovych,"April 01, 1962",Kharkiv Oblast,Chernivtsi Oblast,Lieutenant,Battalion 1,"https://example5.com, https://example10.com, https://example3.com, https://example5.com, https://example5.com"
1109,Volodymyr Kovalenko Romanovych,"November 23, 1971",Donetsk Oblast,"Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Private,Battalion 1,"https://example5.com, https://example2.com, https://example10.com"
1110,Serhiy Bondarenko Yuriyovych,"June 21, 1996",Donetsk Oblast,Zhytomyr Oblast,Lieutenant,Battalion 2,"https://example3.com, https://example9.com, https://example3.com, https://example7.com, https://example9.com"
1111,Andrij Bibikov Mykhailovych,"July 04, 1987",Odesa Oblast,Chernivtsi Oblast,Private,Battalion 2,"https://example5.com, https://example9.com, https://example7.com, https://example7.com, https://example1.com, https://example3.com"
1112,Ihor Shevchenko Mykolayovych,"December 01, 1980","Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Chernivtsi Oblast,Major,Battalion 1,"https://example2.com, https://example5.com, https://example6.com, https://example10.com, https://example7.com, https://example6.com, https://example8.com"
1113,Oleksandr Lysenko Vasyl'ovych,"June 08, 1995",Kharkiv Oblast,Chernivtsi Oblast,Lieutenant,Unknown,"https://example4.com, https://example2.com, https://example4.com, https://example8.com, https://example8.com, https://example9.com, https://example4.com, https://example10.com"
1114,Dmytro Lysenko Romanovych,"November 08, 1996","Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Donetsk Oblast,Lieutenant,Battalion 2,"https://example5.com, https://example8.com, https://example8.com, https://example10.com, https://example4.com"
1115,Dmytro Sakalo Mykhailovych,"September 28, 1968",Lviv Oblast,Kyiv Oblast,Captain,Infantry,"https://example4.com, https://example2.com, https://example2.com, https://example3.com, https://example9.com, https://example7.com, https://example9.com"
1116,Mykola Bondarenko Mykolayovych,"January 01, 1983",Lviv Oblast,Donetsk Oblast,Private,Unknown,"https://example7.com, https://example4.com, https://example3.com"
1117,Oleh Tkachuk Romanovych,"January 17, 1991",Kyiv Oblast,Zhytomyr Oblast,Captain,Infantry,"https://example6.com, https://example4.com, https://example7.com"
1118,Yuriy Kovalenko Mykolayovych,"March 06, 1975",Kharkiv Oblast,"Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast",Colonel,Special Forces,"https://example10.com, https://example3.com, https://example3.com, https://example2.com, https://example2.com, https://example7.com, https://example1.com, https://example9.com"
1119,Serhiy Kravchenko Serhiyovych,"November 16, 1976","Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast",Odesa Oblast,Captain,Battalion 2,"https://example1.com, https://example10.com, https://example7.com, https://example3.com, https://example6.com, https://example4.com"
1120,Andrij Shevchenko Vasyl'ovych,"October 17, 1962",Odesa Oblast,"Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast",Sergeant,Recon Squad,"https://example3.com, https://example1.com, https://example6.com, https://example6.com, https://example10.com"
1121,Roman Sakalo Petrovych,"November 29, 1995",Kharkiv Oblast,"Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Private,Special Forces,"https://example9.com, https://example5.com, https://example6.com, https://example10.com, https://example7.com, https://example5.com"
1122,Yuriy Bibikov Serhiyovych,"November 06, 1999",Zhytomyr Oblast,Chernivtsi Oblast,Lieutenant,Battalion 1,"https://example7.com, https://example7.com, https://example2.com, https://example6.com, https://example8.com, https://example8.com, https://example3.com, https://example10.com"
1123,Oleksandr Shevchenko Serhiyovych,"August 04, 1986","Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast","Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Private,Battalion 1,"https://example4.com, https://example4.com, https://example7.com"
1124,Oleh Tkachuk Serhiyovych,"May 20, 1992",Lviv Oblast,"Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast",Sergeant,Unknown,"https://example8.com, https://example5.com, https://example6.com, https://example2.com, https://example2.com"
1125,Oleh Bondarenko Petrovych,"March 11, 1964",Lviv Oblast,"Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast",Lieutenant,Unknown,"https://example3.com, https://example9.com, https://example9.com, https://example2.com"
1126,Andrij Kravchenko Volodymyrovych,"November 13, 1997",Chernivtsi Oblast,Chernivtsi Oblast,Lieutenant,Recon Squad,"https://example5.com, https://example8.com, https://example1.com, https://example2.com, https://example2.com, https://example10.com, https://example5.com"
1127,Andrij Lysenko Mykolayovych,"September 01, 1985",Donetsk Oblast,Kyiv Oblast,Private,Unknown,"https://example2.com, https://example1.com, https://example5.com, https://example8.com, https://example2.com, https://example9.com, https://example10.com, https://example2.com"
1128,Mykola Lysenko Petrovych,"April 14, 1992","Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast","Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast",Private,Unknown,"https://example9.com, https://example9.com, https://example2.com, https://example6.com, https://example5.com, https://example8.com, https://example4.com"
1129,Mykola Shevchenko Mykhailovych,"October 25, 1984","Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Lviv Oblast,Private,Recon Squad,"https://example7.com, https://example1.com, https://example3.com, https://example8.com, https://example4.com, https://example8.com, https://example10.com"
1130,Ihor Bibikov Serhiyovych,"August 04, 1972",Odesa Oblast,Zhytomyr Oblast,Lieutenant,Unknown,"https://example8.com, https://example1.com, https://example5.com, https://example7.com"
1131,Roman Shevchenko Volodymyrovych,"October 28, 1994",Lviv Oblast,"Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast",Private,Infantry,"https://example5.com, https://example6.com, https://example4.com"
1132,Yuriy Tkachuk Volodymyrovych,"June 05, 1968","Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast",Zhytomyr Oblast,Sergeant,Battalion 2,"https://example3.com, https://example8.com, https://example9.com"
1133,Volodymyr Sakalo Vasyl'ovych,"October 21, 1981",Kharkiv Oblast,"Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast",Captain,Battalion 1,"https://example6.com, https://example5.com, https://example9.com, https://example4.com, https://example5.com"
1134,Andrij Kravchenko Mykhailovych,"February 27, 1965",Lviv Oblast,Chernivtsi Oblast,Major,Battalion 2,"https://example8.com, https://example7.com, https://example10.com, https://example7.com, https://example8.com, https://example2.com, https://example10.com, https://example7.com"
1135,Ihor Bondarenko Romanovych,"May 18, 1979",Chernivtsi Oblast,Odesa Oblast,Senior soldier,Infantry,"https://example6.com, https://example2.com, https://example10.com, https://example7.com, https://example4.com, https://example9.com, https://example5.com, https://example2.com"
1136,Dmytro Sakalo Mykolayovych,"November 14, 1987",Kharkiv Oblast,Donetsk Oblast,Major,Battalion 2,"https://example7.com, https://example3.com, https://example3.com, https://example9.com"
1137,Andrij Shevchenko Mykolayovych,"July 05, 1998",Kyiv Oblast,"Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast",Major,Battalion 2,"https://example4.com, https://example1.com, https://example3.com, https://example6.com, https://example8.com, https://example2.com, https://example4.com"
1138,Volodymyr Zinchenko Ivanovych,"April 05, 1992",Donetsk Oblast,Kyiv Oblast,Senior soldier,Unknown,"https://example3.com, https://example5.com, https://example4.com, https://example6.com, https://example3.com"
1139,Dmytro Hrytsenko Mykhailovych,"October 03, 1990","Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast",Donetsk Oblast,Captain,Battalion 2,"https://example3.com, https://example8.com, https://example3.com, https://example2.com, https://example9.com, https://example7.com"
1140,Yuriy Shevchenko Yuriyovych,"February 12, 1973",Chernivtsi Oblast,Kharkiv Oblast,Sergeant,Battalion 2,"https://example4.com, https://example2.com, https://example9.com, https://example8.com, https://example4.com, https://example3.com, https://example4.com, https://example3.com"
1141,Roman Lysenko Mykhailovych,"July 30, 1988",Zhytomyr Oblast,"Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Private,Unknown,"https://example2.com, https://example10.com, https://example8.com, https://example2.com, https://example8.com, https://example5.com"
1142,Ihor Lysenko Petrovych,"October 01, 1961",Donetsk Oblast,Chernivtsi Oblast,Private,Battalion 2,"https://example2.com, https://example2.com, https://example5.com"
1143,Dmytro Sakalo Petrovych,"January 24, 1994",Kyiv Oblast,Kyiv Oblast,Senior soldier,Recon Squad,"https://example1.com, https://example4.com, https://example10.com, https://example1.com, https://example7.com, https://example7.com, https://example6.com"
1144,Yuriy Lysenko Romanovych,"July 20, 1964",Lviv Oblast,Kyiv Oblast,Major,Recon Squad,"https://example2.com, https://example5.com, https://example9.com, https://example8.com, https://example8.com, https://example6.com, https://example5.com"
1145,Oleksandr Kravchenko Romanovych,"February 26, 1997",Chernivtsi Oblast,Chernivtsi Oblast,Lieutenant,Infantry,"https://example4.com, https://example4.com, https://example10.com, https://example4.com, https://example4.com"
1146,Mykola Shevchenko Petrovych,"June 05, 1991",Kyiv Oblast,"Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Captain,Battalion 2,"https://example3.com, https://example4.com, https://example10.com, https://example2.com, https://example4.com, https://example8.com"
1147,Dmytro Lysenko Romanovych,"January 25, 1965","Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Zhytomyr Oblast,Senior soldier,Unknown,"https://example8.com, https://example5.com, https://example6.com, https://example5.com, https://example1.com, https://example1.com"
1148,Roman Sakalo Serhiyovych,"July 31, 1997",Chernivtsi Oblast,"Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Senior soldier,Recon Squad,"https://example5.com, https://example5.com, https://example8.com"
1149,Mykola Bondarenko Volodymyrovych,"March 11, 1988","Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Kharkiv Oblast,Private,Battalion 2,"https://example2.com, https://example5.com, https://example2.com"
1150,Ihor Zinchenko Yuriyovych,"July 14, 1982","Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast",Kyiv Oblast,Colonel,Recon Squad,"https://example4.com, https://example9.com, https://example7.com"
1151,Oleh Shevchenko Volodymyrovych,"May 03, 1969",Kyiv Oblast,Kharkiv Oblast,Lieutenant,Infantry,"https://example3.com, https://example6.com, https://example1.com, https://example9.com, https://example5.com, https://example2.com"
1152,Oleksandr Sakalo Petrovych,"March 22, 1990",Kyiv Oblast,Kyiv Oblast,Sergeant,Battalion 2,"https://example7.com, https://example6.com, https://example8.com, https://example3.com, https://example4.com, https://example9.com, https://example1.com"
1153,Roman Tkachuk Romanovych,"September 13, 1996",Chernivtsi Oblast,Kharkiv Oblast,Major,Battalion 1,"https://example9.com, https://example5.com, https://example1.com, https://example5.com"
1154,Yuriy Tkachuk Oleksandrovych,"December 27, 1964",Zhytomyr Oblast,Zhytomyr Oblast,Private,Battalion 2,"https://example7.com, https://example7.com, https://example7.com, https://example2.com, https://example1.com, https://example7.com, https://example8.com"
1155,Volodymyr Bondarenko Mykolayovych,"December 29, 1966",Donetsk Oblast,Odesa Oblast,Captain,Infantry,"https://example1.com, https://example10.com, https://example3.com, https://example7.com, https://example4.com, https://example6.com, https://example10.com, https://example8.com"
1156,Yuriy Kravchenko Yuriyovych,"December 23, 1983",Zhytomyr Oblast,Kyiv Oblast,Private,Battalion 1,"https://example9.com, https://example2.com, https://example6.com, https://example8.com, https://example2.com, https://example2.com, https://example9.com, https://example10.com"
1157,Ihor Sakalo Oleksandrovych,"August 28, 1975",Kyiv Oblast,Kyiv Oblast,Senior soldier,Infantry,"https://example4.com, https://example2.com, https://example1.com, https://example7.com, https://example6.com"
1158,Mykola Kovalenko Petrovych,"August 09, 1983","Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast",Kyiv Oblast,Private,Battalion 2,"https://example8.com, https://example5.com, https://example5.com, https://example6.com, https://example6.com, https://example5.com"
1159,Oleksandr Bondarenko Ivanovych,"September 07, 1993",Donetsk Oblast,"Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast",Private,Battalion 1,"https://example7.com, https://example5.com, https://example1.com, https://example3.com, https://example1.com"
1160,Mykola Kravchenko Mykolayovych,"December 06, 1968",Lviv Oblast,Zhytomyr Oblast,Private,Infantry,"https://example9.com, https://example6.com, https://example5.com, https://example3.com"
1161,Ihor Lysenko Vasyl'ovych,"December 21, 1968",Lviv Oblast,Kyiv Oblast,Captain,Infantry,"https://example7.com, https://example7.com, https://example3.com, https://example8.com, https://example8.com"
1162,Oleksandr Kravchenko Ivanovych,"March 03, 1981","Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Chernivtsi Oblast,Lieutenant,Special Forces,"https://example7.com, https://example8.com, https://example8.com"
1163,Roman Hrytsenko Ivanovych,"January 21, 1996",Lviv Oblast,Kharkiv Oblast,Senior soldier,Unknown,"https://example7.com, https://example1.com, https://example9.com, https://example2.com, https://example4.com"
1164,Ihor Tkachuk Vasyl'ovych,"February 13, 1982","Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast","Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast",Captain,Battalion 1,"https://example8.com, https://example6.com, https://example7.com"
1165,Dmytro Bibikov Romanovych,"March 03, 1991","Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast",Kharkiv Oblast,Private,Unknown,"https://example8.com, https://example2.com, https://example8.com, https://example7.com, https://example8.com, https://example1.com"
1166,Oleh Bibikov Romanovych,"September 08, 1981","Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Kyiv Oblast,Captain,Special Forces,"https://example2.com, https://example5.com, https://example5.com, https://example10.com, https://example4.com, https://example6.com, https://example9.com, https://example8.com"
1167,Oleksandr Lysenko Serhiyovych,"November 10, 1979",Chernivtsi Oblast,Lviv Oblast,Senior soldier,Special Forces,"https://example5.com, https://example4.com, https://example4.com, https://example10.com, https://example9.com, https://example3.com, https://example2.com, https://example8.com"
1168,Serhiy Hrytsenko Mykolayovych,"August 01, 1979",Zhytomyr Oblast,"Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast",Private,Battalion 1,"https://example9.com, https://example2.com, https://example7.com, https://example7.com, https://example4.com"
1169,Volodymyr Tkachuk Serhiyovych,"August 08, 1986","Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast","Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast",Captain,Battalion 1,"https://example1.com, https://example9.com, https://example5.com, https://example7.com, https://example5.com, https://example2.com"
1170,Mykola Zinchenko Ivanovych,"July 28, 1963","Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast","Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Captain,Unknown,"https://example3.com, https://example4.com, https://example1.com, https://example6.com, https://example5.com, https://example9.com, https://example7.com"
1171,Yuriy Kovalenko Serhiyovych,"December 08, 1999","Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast",Kharkiv Oblast,Colonel,Battalion 2,"https://example5.com, https://example2.com, https://example5.com"
1172,Mykola Hrytsenko Petrovych,"April 06, 1995",Donetsk Oblast,"Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast",Major,Unknown,"https://example2.com, https://example6.com, https://example7.com, https://example2.com, https://example7.com, https://example8.com"
1173,Dmytro Kravchenko Petrovych,"January 28, 1964","Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Chernivtsi Oblast,Major,Battalion 1,"https://example5.com, https://example4.com, https://example5.com, https://example7.com"
1174,Andrij Lysenko Oleksandrovych,"April 13, 1960",Lviv Oblast,"Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast",Captain,Unknown,"https://example10.com, https://example2.com, https://example9.com, https://example1.com"
1175,Mykola Kravchenko Mykolayovych,"April 20, 1968",Chernivtsi Oblast,Kyiv Oblast,Colonel,Special Forces,"https://example10.com, https://example6.com, https://example4.com"
1176,Oleh Hrytsenko Oleksandrovych,"December 13, 1982","Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Donetsk Oblast,Sergeant,Infantry,"https://example8.com, https://example2.com, https://example2.com"
1177,Oleksandr Bibikov Serhiyovych,"August 30, 1969","Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast","Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast",Private,Battalion 2,"https://example9.com, https://example1.com, https://example4.com, https://example3.com, https://example5.com, https://example5.com, https://example5.com"
1178,Yuriy Shevchenko Romanovych,"July 29, 1995","Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast","Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast",Senior soldier,Battalion 2,"https://example8.com, https://example2.com, https://example9.com, https://example1.com, https://example4.com, https://example9.com, https://example8.com, https://example10.com"
1179,Mykola Shevchenko Volodymyrovych,"August 17, 1972","Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Kyiv Oblast,Private,Unknown,"https://example1.com, https://example9.com, https://example5.com, https://example1.com, https://example1.com, https://example2.com"
1180,Andrij Lysenko Mykolayovych,"April 19, 1987",Lviv Oblast,Kharkiv Oblast,Captain,Battalion 1,"https://example7.com, https://example4.com, https://example2.com, https://example7.com"
1181,Serhiy Zinchenko Mykolayovych,"December 02, 1984",Chernivtsi Oblast,Donetsk Oblast,Sergeant,Unknown,"https://example8.com, https://example9.com, https://example7.com, https://example8.com"
1182,Roman Shevchenko Volodymyrovych,"June 28, 1980","Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Chernivtsi Oblast,Private,Unknown,"https://example1.com, https://example1.com, https://example1.com, https://example7.com"
1183,Mykola Kravchenko Ivanovych,"May 09, 1960",Kharkiv Oblast,Kyiv Oblast,Captain,Special Forces,"https://example2.com, https://example1.com, https://example1.com, https://example1.com, https://example9.com, https://example9.com, https://example9.com, https://example8.com"
1184,Dmytro Hrytsenko Mykolayovych,"November 20, 1999",Odesa Oblast,Kyiv Oblast,Lieutenant,Infantry,"https://example3.com, https://example4.com, https://example4.com, https://example7.com, https://example6.com"
1185,Yuriy Sakalo Volodymyrovych,"February 18, 1991",Zhytomyr Oblast,Kyiv Oblast,Lieutenant,Battalion 1,"https://example8.com, https://example2.com, https://example1.com"
1186,Yuriy Sakalo Mykolayovych,"May 19, 1978","Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast",Chernivtsi Oblast,Major,Recon Squad,"https://example7.com, https://example6.com, https://example7.com, https://example1.com, https://example7.com, https://example5.com, https://example8.com, https://example6.com"
1187,Oleksandr Kovalenko Mykolayovych,"May 06, 1982",Kharkiv Oblast,Zhytomyr Oblast,Captain,Battalion 2,"https://example1.com, https://example9.com, https://example4.com"
1188,Oleh Sakalo Oleksandrovych,"February 13, 1971",Zhytomyr Oblast,"Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast",Major,Battalion 2,"https://example10.com, https://example4.com, https://example5.com"
1189,Serhiy Kovalenko Petrovych,"November 14, 1987","Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast",Donetsk Oblast,Lieutenant,Special Forces,"https://example7.com, https://example1.com, https://example9.com"
1190,Serhiy Sakalo Ivanovych,"May 11, 1984",Kharkiv Oblast,"Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Captain,Recon Squad,"https://example3.com, https://example10.com, https://example6.com, https://example10.com, https://example5.com, https://example5.com"
1191,Serhiy Lysenko Volodymyrovych,"March 25, 1966",Donetsk Oblast,"Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast",Sergeant,Recon Squad,"https://example4.com, https://example9.com, https://example7.com"
1192,Roman Hrytsenko Vasyl'ovych,"December 18, 1989",Lviv Oblast,Zhytomyr Oblast,Captain,Infantry,"https://example6.com, https://example6.com, https://example10.com, https://example1.com"
1193,Ihor Shevchenko Serhiyovych,"November 08, 1968",Zhytomyr Oblast,"Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Private,Infantry,"https://example10.com, https://example8.com, https://example2.com"
1194,Yuriy Zinchenko Romanovych,"March 25, 1971",Kyiv Oblast,Odesa Oblast,Sergeant,Infantry,"https://example3.com, https://example10.com, https://example9.com, https://example8.com, https://example9.com"
1195,Mykola Zinchenko Romanovych,"March 29, 1985",Zhytomyr Oblast,Odesa Oblast,Lieutenant,Battalion 2,"https://example10.com, https://example2.com, https://example7.com, https://example8.com, https://example2.com"
1196,Andrij Bibikov Mykhailovych,"November 04, 1960","Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast",Zhytomyr Oblast,Major,Infantry,"https://example6.com, https://example8.com, https://example1.com, https://example9.com, https://example8.com, https://example6.com, https://example9.com"
1197,Andrij Shevchenko Petrovych,"April 08, 1993","Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast","Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast",Private,Battalion 1,"https://example5.com, https://example2.com, https://example9.com, https://example6.com, https://example8.com, https://example2.com, https://example5.com"
1198,Andrij Hrytsenko Volodymyrovych,"October 15, 1998",Odesa Oblast,"Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast",Captain,Special Forces,"https://example4.com, https://example10.com, https://example1.com"
1199,Andrij Shevchenko Mykhailovych,"September 25, 1970","Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast",Lviv Oblast,Sergeant,Infantry,"https://example8.com, https://example3.com, https://example1.com, https://example10.com, https://example2.com, https://example8.com"
1200,Serhiy Bibikov Yuriyovych,"April 05, 1964",Lviv Oblast,Kharkiv Oblast,Private,Unknown,"https://example2.com, https://example10.com, https://example9.com"
