#,Name,Date of birth,Date of death,Date of burial,From,Died in the area of,Rank,Military Unit,Sources
612,Roman Bondarenko Serhiyovych,"August 06, 1998",91,"August 05, 2024",Donetsk Oblast,Donetsk Oblast,Colonel,Battalion 1,"https://example9.com, https://example6.com, https://example6.com, https://example2.com, https://example9.com, https://example1.com"
613,Serhiy Kovalenko Oleksandrovych,"May 28, 1995",21,"September 30, 2023",Chernivtsi Oblast,Lviv Oblast,Sergeant,Infantry,"https://example7.com, https://example3.com, https://example5.com, https://example1.com"
614,Oleksandr Sakalo Oleksandrovych,"December 09, 1964",43,?,"Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast",Odesa Oblast,Lieutenant,Recon Squad,"https://example9.com, https://example4.com, https://example10.com"
615,Yuriy Bondarenko Yuriyovych,"November 01, 1960",92,?,Lviv Oblast,"Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast",Private,Battalion 2,"https://example8.com, https://example5.com, https://example8.com, https://example8.com, https://example5.com, https://example6.com, https://example2.com, https://example4.com"
616,Roman Zinchenko Yuriyovych,"October 30, 1963",49,"March 20, 2023",Chernivtsi Oblast,Kyiv Oblast,Major,Infantry,"https://example5.com, https://example4.com, https://example6.com"
617,Serhiy Zinchenko Oleksandrovych,"September 11, 1963",62,"January 05, 2023",Kharkiv Oblast,"Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast",Lieutenant,Unknown,"https://example8.com, https://example1.com, https://example9.com, https://example9.com, https://example8.com, https://example8.com"
618,Oleh Zinchenko Mykolayovych,"October 04, 1975",5,?,Odesa Oblast,"Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast",Captain,Battalion 2,"https://example7.com, https://example6.com, https://example5.com, https://example4.com, https://example6.com, https://example4.com, https://example6.com"
619,Volodymyr Tkachuk Oleksandrovych,"March 07, 1973",49,"February 04, 2024","Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast",Odesa Oblast,Private,Battalion 2,"https://example6.com, https://example4.com, https://example10.com, https://example3.com, https://example4.com, https://example9.com"
620,Yuriy Tkachuk Vasyl'ovych,"March 18, 1962",62,?,Donetsk Oblast,Kharkiv Oblast,Colonel,Battalion 1,"https://example9.com, https://example5.com, https://example7.com, https://example4.com, https://example7.com, https://example7.com, https://example10.com"
621,Roman Bibikov Ivanovych,"January 12, 1998",75,?,"Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast",Zhytomyr Oblast,Major,Infantry,"https://example9.com, https://example3.com, https://example8.com, https://example10.com"
622,Oleh Kravchenko Mykhailovych,"August 07, 1991",90,"October 16, 2024","Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast",Chernivtsi Oblast,Senior soldier,Special Forces,"https://example1.com, https://example9.com, https://example6.com, https://example5.com, https://example6.com"
623,Dmytro Kravchenko Yuriyovych,"April 08, 1997",56,"November 13, 2022",Donetsk Oblast,Zhytomyr Oblast,Major,Special Forces,"https://example10.com, https://example5.com, https://example2.com, https://example6.com, https://example6.com, https://example2.com, https://example8.com"
624,Mykola Bibikov Ivanovych,"January 12, 1995",76,"July 27, 2024",Zhytomyr Oblast,Odesa Oblast,Major,Recon Squad,"https://example1.com, https://example9.com, https://example1.com, https://example7.com, https://example10.com, https://example5.com, https://example9.com"
625,Oleksandr Bondarenko Vasyl'ovych,"October 04, 1978",33,"December 06, 2022",Lviv Oblast,Chernivtsi Oblast,Lieutenant,Infantry,"https://example10.com, https://example10.com, https://example7.com"
626,Volodymyr Hrytsenko Yuriyovych,"July 20, 1988",39,"April 29, 2023",Odesa Oblast,"Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast",Colonel,Infantry,"https://example6.com, https://example4.com, https://example2.com, https://example4.com, https://example6.com"
627,Andrij Lysenko Ivanovych,"January 24, 1992",43,"February 29, 2024",Zhytomyr Oblast,Lviv Oblast,Lieutenant,Unknown,"https://example9.com, https://example3.com, https://example1.com"
628,Andrij Bibikov Vasyl'ovych,"April 21, 1966",89,"August 08, 2022",Zhytomyr Oblast,"Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Major,Battalion 2,"https://example3.com, https://example9.com, https://example4.com, https://example6.com"
629,Andrij Kovalenko Serhiyovych,"May 12, 1992",26,?,"Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Odesa Oblast,Colonel,Battalion 1,"https://example6.com, https://example1.com, https://example3.com"
630,Oleksandr Sakalo Petrovych,"December 22, 1976",47,?,Kharkiv Oblast,Donetsk Oblast,Senior soldier,Battalion 2,"https://example9.com, https://example9.com, https://example4.com, https://example8.com, https://example2.com, https://example2.com, https://example9.com"
631,Mykola Sakalo Mykhailovych,"November 16, 1983",82,?,Chernivtsi Oblast,Lviv Oblast,Colonel,Infantry,"https://example9.com, https://example3.com, https://example2.com"
632,Andrij Sakalo Yuriyovych,"August 13, 1987",10,"October 21, 2023",Kharkiv Oblast,Odesa Oblast,Private,Infantry,"https://example7.com, https://example9.com, https://example6.com, https://example1.com"
633,Andrij Kravchenko Petrovych,"January 20, 1964",43,?,Donetsk Oblast,"Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast",Colonel,Battalion 2,"https://example8.com, https://example3.com, https://example9.com, https://example5.com, https://example3.com"
634,Ihor Zinchenko Oleksandrovych,"February 02, 1963",42,?,Donetsk Oblast,"Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast",Private,Unknown,"https://example10.com, https://example2.com, https://example5.com, https://example7.com, https://example3.com, https://example6.com, https://example4.com"
635,Roman Lysenko Volodymyrovych,"January 04, 1983",34,"January 25, 2024",Odesa Oblast,"Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast",Private,Battalion 2,"https://example1.com, https://example1.com, https://example9.com, https://example4.com, https://example9.com"
636,Oleh Bondarenko Ivanovych,"June 12, 1970",79,?,Odesa Oblast,Kyiv Oblast,Lieutenant,Battalion 2,"https://example9.com, https://example7.com, https://example8.com, https://example6.com, https://example8.com"
637,Serhiy Sakalo Mykolayovych,"August 02, 1993",84,"March 02, 2024",Odesa Oblast,Odesa Oblast,Lieutenant,Special Forces,"https://example3.com, https://example5.com, https://example2.com, https://example7.com, https://example8.com"
638,Andrij Bibikov Oleksandrovych,"May 19, 1973",47,"February 20, 2024",Lviv Oblast,Chernivtsi Oblast,Private,Infantry,"https://example4.com, https://example10.com, https://example1.com, https://example3.com, https://example7.com"
639,Serhiy Hrytsenko Romanovych,"January 12, 1961",59,"December 11, 2024","Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast","Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast",Sergeant,Battalion 2,"https://example10.com, https://example8.com, https://example3.com, https://example4.com, https://example8.com, https://example6.com, https://example3.com"
640,Andrij Shevchenko Mykolayovych,"August 31, 1979",40,"January 07, 2022",Odesa Oblast,Chernivtsi Oblast,Major,Unknown,"https://example6.com, https://example8.com, https://example5.com, https://example1.com, https://example9.com, https://example9.com, https://example8.com, https://example8.com"
641,Volodymyr Tkachuk Oleksandrovych,"July 02, 1966",19,"August 26, 2024","Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast","Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast",Captain,Recon Squad,"https://example8.com, https://example6.com, https://example10.com, https://example10.com, https://example10.com, https://example1.com, https://example9.com, https://example6.com"
642,Yuriy Kovalenko Serhiyovych,"November 11, 1994",83,?,Chernivtsi Oblast,Chernivtsi Oblast,Senior soldier,Battalion 1,"https://example6.com, https://example2.com, https://example5.com"
643,Mykola Kravchenko Mykhailovych,"September 24, 1973",29,?,Kharkiv Oblast,Kyiv Oblast,Private,Infantry,"https://example10.com, https://example9.com, https://example8.com"
644,Mykola Shevchenko Volodymyrovych,"November 29, 1997",73,?,"Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast","Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast",Private,Recon Squad,"https://example2.com, https://example2.com, https://example4.com, https://example10.com, https://example10.com, https://example5.com, https://example2.com, https://example2.com"
645,Oleh Bibikov Serhiyovych,"October 05, 1991",69,"February 03, 2022",Kyiv Oblast,Lviv Oblast,Captain,Special Forces,"https://example8.com, https://example4.com, https://example8.com, https://example2.com, https://example2.com, https://example9.com, https://example2.com"
646,Andrij Lysenko Ivanovych,"August 06, 1987",47,"October 13, 2024","Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast",Lviv Oblast,Lieutenant,Infantry,"https://example7.com, https://example8.com, https://example9.com, https://example8.com, https://example5.com, https://example6.com, https://example9.com"
647,Serhiy Bibikov Vasyl'ovych,"July 23, 1984",83,"May 18, 2023",Odesa Oblast,Lviv Oblast,Senior soldier,Battalion 2,"https://example10.com, https://example10.com, https://example4.com"
648,Volodymyr Kravchenko Mykolayovych,"February 09, 1977",14,?,Chernivtsi Oblast,"Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast",Sergeant,Unknown,"https://example5.com, https://example8.com, https://example10.com, https://example6.com, https://example3.com"
649,Volodymyr Sakalo Yuriyovych,"April 03, 1975",28,?,Odesa Oblast,Donetsk Oblast,Sergeant,Recon Squad,"https://example3.com, https://example2.com, https://example7.com, https://example4.com"
650,Yuriy Lysenko Romanovych,"March 09, 1997",10,"May 10, 2024",Zhytomyr Oblast,Chernivtsi Oblast,Sergeant,Recon Squad,"https://example9.com, https://example1.com, https://example2.com, https://example1.com, https://example6.com, https://example9.com, https://example1.com, https://example10.com"
651,Oleksandr Tkachuk Petrovych,"September 11, 1982",63,?,Odesa Oblast,Donetsk Oblast,Colonel,Recon Squad,"https://example3.com, https://example7.com, https://example4.com, https://example3.com"
652,Oleksandr Bibikov Serhiyovych,"February 15, 1990",90,"July 01, 2024",Odesa Oblast,Kharkiv Oblast,Major,Special Forces,"https://example9.com, https://example10.com, https://example4.com, https://example7.com, https://example1.com, https://example7.com"
653,Andrij Tkachuk Mykhailovych,"July 08, 1985",77,?,"Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast","Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast",Sergeant,Battalion 1,"https://example1.com, https://example3.com, https://example6.com, https://example6.com, https://example3.com, https://example2.com, https://example4.com"
654,Oleksandr Hrytsenko Mykolayovych,"March 11, 1993",24,"October 17, 2024",Kharkiv Oblast,"Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast",Sergeant,Battalion 1,"https://example5.com, https://example6.com, https://example6.com, https://example2.com"
655,Ihor Sakalo Vasyl'ovych,"September 20, 1994",35,?,"Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast",Zhytomyr Oblast,Major,Battalion 1,"https://example3.com, https://example4.com, https://example9.com, https://example5.com, https://example7.com, https://example5.com, https://example10.com"
656,Yuriy Bibikov Petrovych,"July 31, 1963",88,?,Kyiv Oblast,Chernivtsi Oblast,Major,Special Forces,"https://example10.com, https://example4.com, https://example2.com, https://example3.com, https://example8.com"
657,Oleh Bondarenko Romanovych,"July 12, 1998",14,"March 12, 2024",Zhytomyr Oblast,Lviv Oblast,Colonel,Special Forces,"https://example8.com, https://example1.com, https://example8.com, https://example3.com, https://example10.com, https://example9.com, https://example10.com"
658,Ihor Shevchenko Mykolayovych,"July 10, 1967",100,?,Chernivtsi Oblast,"Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast",Colonel,Special Forces,"https://example9.com, https://example5.com, https://example9.com, https://example6.com"
659,Oleksandr Hrytsenko Yuriyovych,"November 26, 1979",30,?,"Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast",Chernivtsi Oblast,Senior soldier,Unknown,"https://example9.com, https://example10.com, https://example1.com, https://example6.com"
660,Ihor Zinchenko Mykhailovych,"May 19, 1965",70,"May 10, 2023",Odesa Oblast,Donetsk Oblast,Senior soldier,Battalion 1,"https://example4.com, https://example2.com, https://example10.com, https://example4.com"
661,Serhiy Zinchenko Volodymyrovych,"April 16, 1995",56,"June 13, 2024",Donetsk Oblast,"Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast",Captain,Recon Squad,"https://example8.com, https://example8.com, https://example4.com"
662,Serhiy Kravchenko Ivanovych,"August 24, 1975",66,"December 31, 2022",Lviv Oblast,Kharkiv Oblast,Major,Recon Squad,"https://example10.com, https://example10.com, https://example5.com, https://example7.com"
663,Andrij Shevchenko Vasyl'ovych,"August 26, 1979",53,"May 31, 2024",Chernivtsi Oblast,Kyiv Oblast,Senior soldier,Special Forces,"https://example5.com, https://example6.com, https://example2.com, https://example5.com"
664,Mykola Lysenko Petrovych,"August 18, 1986",50,"January 24, 2022",Donetsk Oblast,"Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast",Private,Infantry,"https://example7.com, https://example3.com, https://example4.com, https://example4.com, https://example9.com, https://example5.com, https://example1.com, https://example7.com"
665,Andrij Kravchenko Serhiyovych,"August 07, 1992",51,"September 25, 2023","Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast",Kyiv Oblast,Senior soldier,Battalion 2,"https://example7.com, https://example2.com, https://example1.com, https://example1.com, https://example5.com, https://example3.com"
666,Mykola Kravchenko Yuriyovych,"January 27, 1969",79,"October 10, 2022","Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast",Zhytomyr Oblast,Senior soldier,Recon Squad,"https://example7.com, https://example3.com, https://example4.com"
667,Ihor Kravchenko Serhiyovych,"October 09, 1994",75,"September 29, 2024",Kyiv Oblast,"Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast",Sergeant,Unknown,"https://example1.com, https://example7.com, https://example5.com, https://example1.com, https://example9.com, https://example1.com, https://example9.com"
668,Mykola Bibikov Mykolayovych,"May 09, 1999",98,"August 24, 2023",Chernivtsi Oblast,Chernivtsi Oblast,Private,Battalion 1,"https://example4.com, https://example4.com, https://example3.com, https://example10.com, https://example9.com"
669,Dmytro Lysenko Petrovych,"April 24, 1982",71,?,"Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast","Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast",Captain,Battalion 1,"https://example5.com, https://example6.com, https://example4.com, https://example1.com, https://example2.com, https://example7.com, https://example10.com"
670,Mykola Kovalenko Yuriyovych,"February 05, 1968",8,"March 09, 2024",Kyiv Oblast,Odesa Oblast,Sergeant,Infantry,"https://example2.com, https://example7.com, https://example10.com, https://example1.com, https://example10.com, https://example2.com, https://example2.com, https://example8.com"
671,Oleh Lysenko Romanovych,"May 24, 1962",96,?,Kyiv Oblast,Odesa Oblast,Captain,Battalion 2,"https://example4.com, https://example2.com, https://example2.com, https://example9.com, https://example7.com, https://example5.com, https://example8.com"
672,Roman Bondarenko Vasyl'ovych,"August 13, 1972",30,"September 25, 2024","Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast",Kharkiv Oblast,Senior soldier,Infantry,"https://example7.com, https://example10.com, https://example2.com, https://example9.com, https://example7.com"
673,Oleksandr Hrytsenko Mykolayovych,"October 30, 1987",96,?,"Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast",Lviv Oblast,Captain,Recon Squad,"https://example3.com, https://example10.com, https://example7.com, https://example3.com, https://example4.com, https://example3.com, https://example5.com, https://example7.com"
674,Yuriy Kravchenko Yuriyovych,"September 04, 1967",58,"June 22, 2023",Donetsk Oblast,Kyiv Oblast,Lieutenant,Recon Squad,"https://example6.com, https://example6.com, https://example5.com"
675,Oleksandr Zinchenko Petrovych,"December 08, 1966",24,"March 08, 2024",Kharkiv Oblast,"Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast",Private,Battalion 1,"https://example8.com, https://example9.com, https://example7.com, https://example6.com, https://example10.com, https://example8.com"
676,Andrij Lysenko Petrovych,"March 22, 1965",42,"August 11, 2022",Chernivtsi Oblast,Lviv Oblast,Colonel,Infantry,"https://example10.com, https://example6.com, https://example6.com, https://example10.com, https://example8.com, https://example1.com"
677,Ihor Sakalo Romanovych,"January 15, 1993",79,?,Lviv Oblast,Chernivtsi Oblast,Major,Battalion 2,"https://example10.com, https://example7.com, https://example5.com, https://example3.com"
678,Yuriy Shevchenko Romanovych,"December 06, 1960",46,?,Odesa Oblast,Odesa Oblast,Sergeant,Battalion 2,"https://example4.com, https://example9.com, https://example10.com, https://example3.com"
679,Andrij Bondarenko Vasyl'ovych,"January 23, 1996",65,"May 26, 2022",Kharkiv Oblast,Zhytomyr Oblast,Colonel,Battalion 1,"https://example6.com, https://example1.com, https://example2.com, https://example5.com, https://example4.com, https://example10.com"
680,Dmytro Bondarenko Volodymyrovych,"October 11, 1988",62,?,Lviv Oblast,"Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast",Sergeant,Infantry,"https://example10.com, https://example9.com, https://example1.com"
681,Volodymyr Tkachuk Petrovych,"January 31, 1963",7,"January 26, 2022","Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast","Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast",Captain,Battalion 1,"https://example9.com, https://example6.com, https://example2.com, https://example3.com, https://example6.com, https://example5.com, https://example6.com"
682,Volodymyr Zinchenko Romanovych,"April 18, 1962",8,?,Zhytomyr Oblast,Zhytomyr Oblast,Colonel,Battalion 2,"https://example5.com, https://example6.com, https://example1.com"
683,Roman Sakalo Oleksandrovych,"September 01, 1997",38,"April 20, 2022",Chernivtsi Oblast,Lviv Oblast,Private,Battalion 1,"https://example2.com, https://example3.com, https://example6.com"
684,Serhiy Kovalenko Serhiyovych,"August 23, 1962",11,"February 28, 2024",Odesa Oblast,Lviv Oblast,Captain,Unknown,"https://example6.com, https://example3.com, https://example2.com, https://example3.com, https://example5.com, https://example2.com, https://example4.com"
685,Mykola Shevchenko Mykhailovych,"May 27, 1963",41,"February 10, 2023",Kharkiv Oblast,Zhytomyr Oblast,Sergeant,Infantry,"https://example4.com, https://example7.com, https://example6.com, https://example1.com, https://example2.com"
686,Mykola Zinchenko Oleksandrovych,"November 12, 1975",79,?,Kyiv Oblast,"Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Captain,Battalion 1,"https://example9.com, https://example5.com, https://example4.com, https://example9.com, https://example4.com, https://example4.com, https://example3.com"
687,Yuriy Hrytsenko Ivanovych,"April 13, 1962",83,"December 25, 2022",Lviv Oblast,Chernivtsi Oblast,Captain,Battalion 1,"https://example4.com, https://example2.com, https://example3.com, https://example3.com, https://example7.com"
688,Roman Shevchenko Serhiyovych,"February 17, 1986",33,"February 15, 2024","Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast","Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast",Private,Special Forces,"https://example10.com, https://example1.com, https://example6.com, https://example6.com, https://example2.com, https://example1.com, https://example3.com"
689,Dmytro Tkachuk Romanovych,"July 26, 1960",46,?,Donetsk Oblast,Lviv Oblast,Private,Recon Squad,"https://example5.com, https://example4.com, https://example9.com, https://example6.com, https://example2.com, https://example7.com, https://example7.com, https://example6.com"
690,Serhiy Sakalo Yuriyovych,"March 01, 1966",11,?,Donetsk Oblast,"Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast",Senior soldier,Battalion 2,"https://example8.com, https://example7.com, https://example8.com, https://example5.com, https://example4.com, https://example3.com, https://example5.com"
691,Oleh Hrytsenko Ivanovych,"July 14, 1969",25,"November 03, 2022","Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast",Lviv Oblast,Captain,Unknown,"https://example4.com, https://example10.com, https://example2.com"
692,Oleksandr Bondarenko Mykolayovych,"September 14, 1984",28,?,Kharkiv Oblast,Donetsk Oblast,Major,Infantry,"https://example9.com, https://example3.com, https://example8.com, https://example6.com, https://example7.com"
693,Dmytro Tkachuk Mykolayovych,"July 13, 1961",19,"December 13, 2023",Odesa Oblast,Kyiv Oblast,Private,Special Forces,"https://example1.com, https://example10.com, https://example10.com, https://example4.com, https://example3.com, https://example6.com"
694,Dmytro Lysenko Oleksandrovych,"October 08, 2000",50,?,Odesa Oblast,Odesa Oblast,Sergeant,Special Forces,"https://example7.com, https://example8.com, https://example7.com"
695,Oleksandr Zinchenko Ivanovych,"December 26, 1979",61,"February 28, 2022",Lviv Oblast,Odesa Oblast,Major,Unknown,"https://example3.com, https://example4.com, https://example8.com, https://example2.com, https://example9.com, https://example8.com, https://example6.com"
696,Ihor Kovalenko Volodymyrovych,"March 26, 1973",47,"April 24, 2023",Kyiv Oblast,"Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Colonel,Recon Squad,"https://example6.com, https://example5.com, https://example3.com, https://example1.com, https://example3.com"
697,Dmytro Zinchenko Yuriyovych,"August 15, 1963",3,?,Donetsk Oblast,Zhytomyr Oblast,Captain,Special Forces,"https://example3.com, https://example1.com, https://example5.com, https://example9.com, https://example10.com, https://example7.com"
698,Oleksandr Sakalo Ivanovych,"December 30, 1964",95,?,Donetsk Oblast,"Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast",Senior soldier,Infantry,"https://example2.com, https://example4.com, https://example1.com"
699,Ihor Bondarenko Oleksandrovych,"April 01, 1987",46,"February 06, 2022","Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast","Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Private,Battalion 1,"https://example7.com, https://example10.com, https://example8.com"
700,Volodymyr Bibikov Yuriyovych,"April 01, 2000",86,"June 20, 2024",Lviv Oblast,Chernivtsi Oblast,Major,Recon Squad,"https://example4.com, https://example4.com, https://example1.com, https://example6.com, https://example2.com, https://example10.com"
701,Oleksandr Bibikov Yuriyovych,"December 09, 1969",63,?,"Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Zhytomyr Oblast,Colonel,Infantry,"https://example8.com, https://example1.com, https://example1.com, https://example8.com, https://example6.com, https://example5.com, https://example4.com, https://example5.com"
702,Oleksandr Kovalenko Mykolayovych,"September 16, 1976",30,?,"Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Kharkiv Oblast,Senior soldier,Recon Squad,"https://example5.com, https://example7.com, https://example8.com, https://example6.com, https://example3.com, https://example10.com, https://example5.com, https://example10.com"
703,Dmytro Lysenko Oleksandrovych,"September 14, 1996",27,?,Chernivtsi Oblast,Kyiv Oblast,Private,Battalion 1,"https://example5.com, https://example9.com, https://example6.com"
704,Dmytro Lysenko Romanovych,"July 26, 1977",41,?,Donetsk Oblast,Kyiv Oblast,Senior soldier,Battalion 1,"https://example7.com, https://example6.com, https://example8.com, https://example6.com, https://example4.com, https://example4.com, https://example10.com"
705,Roman Tkachuk Mykhailovych,"January 04, 1969",92,?,"Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast",Chernivtsi Oblast,Colonel,Infantry,"https://example4.com, https://example9.com, https://example6.com, https://example1.com, https://example7.com, https://example7.com, https://example9.com, https://example5.com"
706,Oleksandr Zinchenko Petrovych,"April 13, 1976",7,?,"Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast",Odesa Oblast,Captain,Battalion 1,"https://example2.com, https://example8.com, https://example1.com"
707,Oleksandr Sakalo Ivanovych,"May 11, 1961",87,"October 22, 2022",Zhytomyr Oblast,"Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast",Captain,Battalion 1,"https://example7.com, https://example5.com, https://example6.com, https://example9.com"
708,Oleksandr Hrytsenko Serhiyovych,"January 03, 1978",72,"July 24, 2022",Kharkiv Oblast,"Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast",Captain,Recon Squad,"https://example8.com, https://example7.com, https://example6.com"
709,Ihor Zinchenko Serhiyovych,"March 16, 1981",26,?,"Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Lviv Oblast,Lieutenant,Unknown,"https://example3.com, https://example2.com, https://example4.com, https://example3.com"
710,Andrij Kovalenko Serhiyovych,"July 27, 1960",74,"July 01, 2022",Kyiv Oblast,"Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast",Colonel,Recon Squad,"https://example3.com, https://example9.com, https://example2.com, https://example9.com, https://example7.com"
711,Andrij Bibikov Mykolayovych,"April 23, 1980",76,?,Chernivtsi Oblast,Kharkiv Oblast,Sergeant,Recon Squad,"https://example6.com, https://example5.com, https://example1.com, https://example6.com, https://example9.com, https://example8.com"
712,Oleh Lysenko Vasyl'ovych,"December 22, 1968",42,"July 02, 2022",Chernivtsi Oblast,Kharkiv Oblast,Sergeant,Special Forces,"https://example3.com, https://example8.com, https://example4.com, https://example6.com"
713,Serhiy Sakalo Serhiyovych,"August 21, 1981",36,?,Lviv Oblast,Chernivtsi Oblast,Major,Special Forces,"https://example3.com, https://example2.com, https://example1.com, https://example8.com, https://example9.com, https://example8.com, https://example5.com, https://example6.com"
714,Yuriy Zinchenko Serhiyovych,"December 01, 1970",27,?,Kharkiv Oblast,"Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast",Senior soldier,Special Forces,"https://example8.com, https://example3.com, https://example5.com, https://example8.com, https://example9.com"
715,Yuriy Lysenko Mykolayovych,"April 17, 1971",8,?,Chernivtsi Oblast,Lviv Oblast,Private,Infantry,"https://example5.com, https://example8.com, https://example7.com, https://example3.com, https://example1.com"
716,Ihor Sakalo Mykhailovych,"December 19, 1990",52,"October 31, 2024","Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast","Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast",Private,Special Forces,"https://example5.com, https://example7.com, https://example7.com"
717,Yuriy Shevchenko Petrovych,"December 12, 1977",82,?,"Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast",Kharkiv Oblast,Private,Battalion 1,"https://example3.com, https://example3.com, https://example1.com, https://example10.com"
718,Yuriy Bibikov Serhiyovych,"April 14, 1991",92,?,Lviv Oblast,"Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Colonel,Special Forces,"https://example2.com, https://example9.com, https://example4.com, https://example9.com, https://example3.com, https://example1.com, https://example9.com"
719,Serhiy Kovalenko Volodymyrovych,"November 19, 1980",48,?,"Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast",Kharkiv Oblast,Sergeant,Special Forces,"https://example8.com, https://example1.com, https://example10.com, https://example5.com, https://example10.com"
720,Ihor Bondarenko Oleksandrovych,"July 31, 1987",53,?,"Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Zhytomyr Oblast,Senior soldier,Special Forces,"https://example2.com, https://example1.com, https://example9.com, https://example7.com, https://example10.com, https://example10.com, https://example2.com, https://example5.com"
