#,Name,Date of birth,Date of death,Date of burial,From,Died in the area of,Rank,Military Unit,Sources
3203,Yuriy Bibikov Mykolayovych,"February 12, 1969","January 20, 2023","February 26, 2024",Lviv Oblast,Chernivtsi Oblast,Major,Special Forces,"https://example2.com, https://example3.com, https://example2.com, https://example2.com, https://example5.com, https://example3.com, https://example4.com"
3204,Mykola Tkachuk Romanovych,"August 20, 1995","September 12, 2023",?,Chernivtsi Oblast,Odesa Oblast,Colonel,Unknown,"https://example1.com, https://example7.com, https://example3.com, https://example5.com"
3205,Oleh Hrytsenko Yuriyovych,"June 30, 1981","January 27, 2023","July 17, 2023",Lviv Oblast,Kyiv Oblast,Lieutenant,Battalion 1,"https://example1.com, https://example3.com, https://example7.com"
3206,Serhiy Lysenko Volodymyrovych,"December 15, 1973","November 26, 2022",?,Odesa Oblast,Odesa Oblast,Major,Battalion 1,"https://example4.com, https://example10.com, https://example5.com, https://example1.com, https://example6.com, https://example7.com, https://example6.com, https://example5.com"
3207,Yuriy Bibikov Volodymyrovych,"July 23, 1988","May 29, 2023",?,Chernivtsi Oblast,"Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast",Captain,Unknown,"https://example4.com, https://example7.com, https://example4.com, https://example2.com, https://example3.com"
3208,Yuriy Zinchenko Mykhailovych,"December 31, 1996","February 09, 2023","January 18, 2022",Odesa Oblast,Chernivtsi Oblast,Senior soldier,Recon Squad,"https://example4.com, https://example8.com, https://example5.com"
3209,Andrij Tkachuk Yuriyovych,"March 16, 1972","February 26, 2023",?,Donetsk Oblast,Lviv Oblast,Lieutenant,Infantry,"https://example8.com, https://example10.com, https://example6.com"
3210,Dmytro Zinchenko Serhiyovych,"July 09, 1987","October 18, 2024",?,Kharkiv Oblast,Zhytomyr Oblast,Colonel,Battalion 1,"https://example7.com, https://example3.com, https://example7.com, https://example5.com, https://example5.com"
3211,Volodymyr Zinchenko Mykhailovych,"September 25, 1983","March 20, 2023","July 22, 2024",Kyiv Oblast,Kyiv Oblast,Captain,Battalion 1,"https://example6.com, https://example10.com, https://example1.com, https://example2.com, https://example3.com, https://example5.com"
3212,Dmytro Zinchenko Yuriyovych,"September 15, 1977","August 06, 2023",?,Kharkiv Oblast,Kyiv Oblast,Colonel,Battalion 1,"https://example4.com, https://example2.com, https://example6.com, https://example6.com"
3213,Dmytro Kravchenko Serhiyovych,"August 03, 1998","January 31, 2024",?,Odesa Oblast,Odesa Oblast,Senior soldier,Special Forces,"https://example7.com, https://example4.com, https://example2.com, https://example3.com, https://example2.com, https://example7.com"
3214,Volodymyr Bondarenko Oleksandrovych,"October 21, 1975","February 19, 2024",?,"Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast","Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Lieutenant,Battalion 1,"https://example5.com, https://example5.com, https://example10.com, https://example7.com, https://example3.com, https://example8.com"
3215,Andrij Hrytsenko Petrovych,"June 20, 1994","October 20, 2022","September 27, 2024",Chernivtsi Oblast,Kyiv Oblast,Senior soldier,Recon Squad,"https://example7.com, https://example10.com, https://example5.com, https://example9.com, https://example2.com, https://example1.com"
3216,Yuriy Lysenko Ivanovych,"February 08, 1972","November 16, 2023","March 26, 2024",Lviv Oblast,Kharkiv Oblast,Sergeant,Infantry,"https://example4.com, https://example2.com, https://example5.com, https://example9.com, https://example9.com, https://example9.com"
3217,Andrij Bibikov Mykhailovych,"August 08, 1976","August 08, 2024",?,"Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast","Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast",Colonel,Recon Squad,"https://example1.com, https://example5.com, https://example8.com, https://example6.com"
3218,Oleksandr Hrytsenko Oleksandrovych,"October 07, 1984","January 17, 2022","November 20, 2024",Zhytomyr Oblast,Lviv Oblast,Sergeant,Battalion 2,"https://example8.com, https://example3.com, https://example4.com, https://example6.com, https://example1.com, https://example2.com, https://example10.com, https://example3.com"
3219,Volodymyr Sakalo Ivanovych,"March 11, 1988","August 26, 2022",?,Lviv Oblast,Donetsk Oblast,Sergeant,Battalion 2,"https://example5.com, https://example9.com, https://example7.com, https://example1.com"
3220,Ihor Lysenko Volodymyrovych,"June 26, 1997","October 22, 2022","January 30, 2024","Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast",Kharkiv Oblast,Sergeant,Unknown,"https://example6.com, https://example5.com, https://example9.com, https://example9.com, https://example4.com, https://example6.com, https://example8.com, https://example5.com"
3221,Yuriy Tkachuk Mykhailovych,"April 14, 1974","May 28, 2024","March 25, 2024","Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast",Kyiv Oblast,Lieutenant,Battalion 1,"https://example3.com, https://example1.com, https://example10.com, https://example8.com, https://example7.com"
3222,Ihor Lysenko Romanovych,"May 08, 1972","February 08, 2024",?,Lviv Oblast,Kharkiv Oblast,Senior soldier,Unknown,"https://example7.com, https://example9.com, https://example1.com, https://example10.com, https://example3.com, https://example6.com, https://example8.com"
3223,Roman Sakalo Serhiyovych,"September 08, 2000","June 16, 2023",?,Zhytomyr Oblast,Lviv Oblast,Captain,Infantry,"https://example2.com, https://example10.com, https://example1.com"
3224,Ihor Zinchenko Petrovych,"December 20, 1993","November 20, 2022",?,Odesa Oblast,Chernivtsi Oblast,Senior soldier,Unknown,"https://example3.com, https://example7.com, https://example1.com, https://example7.com"
3225,Roman Lysenko Mykolayovych,"September 21, 1971","April 03, 2023",?,Donetsk Oblast,Lviv Oblast,Sergeant,Recon Squad,"https://example10.com, https://example2.com, https://example5.com, https://example6.com, https://example4.com, https://example8.com, https://example1.com"
3226,Volodymyr Lysenko Petrovych,"August 19, 1968","August 22, 2024","January 11, 2024",Odesa Oblast,Lviv Oblast,Sergeant,Recon Squad,"https://example8.com, https://example6.com, https://example1.com"
3227,Yuriy Tkachuk Vasyl'ovych,"December 01, 1980","December 04, 2023","April 08, 2022",Kyiv Oblast,Zhytomyr Oblast,Lieutenant,Special Forces,"https://example10.com, https://example4.com, https://example6.com"
3228,Ihor Bondarenko Vasyl'ovych,"March 27, 1982","February 26, 2023","May 05, 2024","Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast",Donetsk Oblast,Senior soldier,Battalion 2,"https://example9.com, https://example1.com, https://example5.com, https://example7.com"
3229,Ihor Sakalo Yuriyovych,"August 25, 1984","May 21, 2022",?,Zhytomyr Oblast,"Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast",Lieutenant,Recon Squad,"https://example7.com, https://example8.com, https://example2.com, https://example5.com, https://example5.com, https://example1.com, https://example4.com"
3230,Yuriy Bondarenko Petrovych,"March 30, 1999","May 12, 2022",?,Lviv Oblast,Donetsk Oblast,Captain,Special Forces,"https://example4.com, https://example5.com, https://example2.com"
3231,Ihor Hrytsenko Ivanovych,"December 14, 1965","November 16, 2022",?,"Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Donetsk Oblast,Captain,Battalion 2,"https://example1.com, https://example8.com, https://example9.com"
3232,Roman Zinchenko Mykhailovych,"October 17, 1970","June 18, 2022","February 27, 2022",Chernivtsi Oblast,"Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast",Major,Infantry,"https://example6.com, https://example8.com, https://example7.com, https://example7.com, https://example6.com"
3233,Ihor Hrytsenko Mykhailovych,"September 02, 1976","December 12, 2023","April 16, 2024",Lviv Oblast,Lviv Oblast,Private,Special Forces,"https://example8.com, https://example10.com, https://example3.com, https://example8.com"
3234,Serhiy Kovalenko Ivanovych,"September 15, 1964","January 15, 2022",?,Kyiv Oblast,Donetsk Oblast,Private,Infantry,"https://example2.com, https://example2.com, https://example2.com, https://example10.com, https://example4.com, https://example4.com"
3235,Ihor Shevchenko Mykhailovych,"June 21, 1991","December 17, 2022","August 13, 2022","Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast","Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast",Lieutenant,Special Forces,"https://example5.com, https://example2.com, https://example2.com, https://example3.com, https://example5.com, https://example3.com, https://example10.com"
3236,Volodymyr Tkachuk Ivanovych,"August 27, 1998","July 20, 2023",?,Zhytomyr Oblast,Donetsk Oblast,Major,Special Forces,"https://example5.com, https://example8.com, https://example3.com, https://example8.com, https://example4.com, https://example7.com, https://example6.com, https://example6.com"
3237,Dmytro Bibikov Mykolayovych,"November 28, 1973","October 15, 2023","March 31, 2022",Odesa Oblast,Zhytomyr Oblast,Captain,Special Forces,"https://example7.com, https://example4.com, https://example8.com, https://example9.com, https://example1.com, https://example2.com, https://example7.com"
3238,Ihor Kravchenko Petrovych,"November 07, 1972","August 02, 2023",?,Zhytomyr Oblast,Donetsk Oblast,Major,Recon Squad,"https://example9.com, https://example7.com, https://example6.com, https://example6.com, https://example7.com, https://example8.com, https://example2.com"
3239,Serhiy Bondarenko Ivanovych,"June 10, 1995","January 06, 2024",?,Odesa Oblast,Donetsk Oblast,Major,Battalion 2,"https://example7.com, https://example10.com, https://example10.com, https://example2.com"
3240,Andrij Tkachuk Volodymyrovych,"June 30, 1961","February 25, 2022",?,Zhytomyr Oblast,"Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast",Senior soldier,Special Forces,"https://example7.com, https://example1.com, https://example4.com"
3241,Yuriy Bondarenko Petrovych,"April 02, 1972","April 29, 2023",?,Kharkiv Oblast,Donetsk Oblast,Senior soldier,Special Forces,"https://example6.com, https://example7.com, https://example9.com, https://example4.com, https://example10.com, https://example7.com, https://example3.com"
3242,Serhiy Kravchenko Vasyl'ovych,"April 26, 1968","May 05, 2022","August 18, 2024","Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Lviv Oblast,Private,Recon Squad,"https://example6.com, https://example3.com, https://example1.com, https://example3.com, https://example3.com, https://example7.com"
3243,Ihor Shevchenko Mykhailovych,"October 24, 1980","September 22, 2024",?,"Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast",Kharkiv Oblast,Colonel,Battalion 2,"https://example5.com, https://example5.com, https://example6.com, https://example5.com, https://example6.com, https://example10.com"
3244,Volodymyr Sakalo Oleksandrovych,"November 28, 1993","September 03, 2024","September 20, 2023","Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast","Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Lieutenant,Infantry,"https://example9.com, https://example1.com, https://example3.com, https://example10.com, https://example9.com, https://example4.com, https://example7.com"
3245,Serhiy Bondarenko Ivanovych,"June 23, 1984","August 27, 2022","December 10, 2023",Donetsk Oblast,Kyiv Oblast,Private,Special Forces,"https://example4.com, https://example6.com, https://example9.com, https://example2.com, https://example9.com, https://example10.com"
3246,Volodymyr Kravchenko Serhiyovych,"December 07, 1986","May 17, 2024","January 11, 2024","Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast",Donetsk Oblast,Private,Battalion 1,"https://example8.com, https://example4.com, https://example4.com, https://example10.com, https://example2.com, https://example7.com, https://example3.com, https://example1.com"
3247,Volodymyr Hrytsenko Serhiyovych,"July 07, 1977","June 19, 2022",?,Kharkiv Oblast,Kharkiv Oblast,Private,Battalion 1,"https://example6.com, https://example3.com, https://example4.com, https://example4.com, https://example9.com, https://example4.com, https://example7.com, https://example8.com"
3248,Roman Tkachuk Petrovych,"June 08, 1999","October 15, 2022",?,Donetsk Oblast,Kharkiv Oblast,Lieutenant,Infantry,"https://example6.com, https://example2.com, https://example9.com, https://example10.com"
3249,Mykola Shevchenko Yuriyovych,"April 24, 1981","October 28, 2023","November 26, 2023",Odesa Oblast,Zhytomyr Oblast,Captain,Battalion 2,"https://example9.com, https://example10.com, https://example9.com, https://example9.com, https://example1.com, https://example8.com, https://example2.com"
3250,Volodymyr Hrytsenko Serhiyovych,"July 21, 1983","May 08, 2022","April 22, 2022",Zhytomyr Oblast,Kyiv Oblast,Lieutenant,Recon Squad,"https://example6.com, https://example6.com, https://example4.com, https://example6.com"
3251,Yuriy Sakalo Vasyl'ovych,"July 12, 1979","December 10, 2022","July 30, 2022","Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast","Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast",Sergeant,Special Forces,"https://example5.com, https://example8.com, https://example2.com"
3252,Volodymyr Tkachuk Oleksandrovych,"December 17, 1996","July 02, 2022","June 07, 2024","Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast",Chernivtsi Oblast,Senior soldier,Unknown,"https://example3.com, https://example3.com, https://example7.com"
3253,Oleh Hrytsenko Petrovych,"December 25, 1996","March 16, 2023",?,"Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast",Donetsk Oblast,Private,Special Forces,"https://example5.com, https://example6.com, https://example3.com, https://example6.com, https://example3.com, https://example6.com, https://example3.com"
3254,Roman Hrytsenko Romanovych,"August 25, 1995","September 10, 2023","April 04, 2024","Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast",Lviv Oblast,Senior soldier,Battalion 1,"https://example2.com, https://example8.com, https://example5.com"
3255,Mykola Lysenko Ivanovych,"September 17, 1997","June 01, 2023","March 08, 2022",Zhytomyr Oblast,Lviv Oblast,Colonel,Battalion 2,"https://example6.com, https://example9.com, https://example5.com, https://example4.com, https://example9.com, https://example10.com, https://example10.com, https://example7.com"
3256,Andrij Lysenko Mykhailovych,"March 14, 1988","April 13, 2024","January 12, 2023","Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast",Lviv Oblast,Captain,Unknown,"https://example5.com, https://example9.com, https://example8.com, https://example10.com, https://example9.com"
3257,Oleksandr Hrytsenko Yuriyovych,"June 13, 1982","January 30, 2023","October 26, 2023","Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast","Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Major,Special Forces,"https://example9.com, https://example2.com, https://example6.com, https://example1.com, https://example10.com, https://example8.com"
3258,Mykola Kovalenko Vasyl'ovych,"February 28, 1983","November 28, 2024","October 29, 2023",Zhytomyr Oblast,Chernivtsi Oblast,Major,Special Forces,"https://example10.com, https://example3.com, https://example6.com, https://example4.com, https://example5.com, https://example4.com, https://example6.com, https://example2.com"
3259,Mykola Lysenko Ivanovych,"June 14, 1984","May 05, 2024","June 27, 2022","Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast",Chernivtsi Oblast,Major,Battalion 2,"https://example3.com, https://example2.com, https://example1.com, https://example1.com, https://example1.com"
3260,Volodymyr Kravchenko Ivanovych,"December 11, 1963","June 06, 2024",?,Donetsk Oblast,Chernivtsi Oblast,Colonel,Battalion 1,"https://example10.com, https://example6.com, https://example9.com, https://example8.com, https://example8.com"
3261,Oleh Tkachuk Vasyl'ovych,"April 04, 1980","August 20, 2022","February 02, 2022","Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Chernivtsi Oblast,Private,Battalion 1,"https://example2.com, https://example1.com, https://example9.com, https://example1.com, https://example2.com"
3262,Oleksandr Zinchenko Vasyl'ovych,"August 25, 1968","April 17, 2023",?,"Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Odesa Oblast,Sergeant,Recon Squad,"https://example5.com, https://example1.com, https://example9.com, https://example5.com, https://example10.com, https://example1.com, https://example2.com, https://example6.com"
3263,Serhiy Zinchenko Oleksandrovych,"October 07, 1987","January 03, 2023",?,Kharkiv Oblast,Lviv Oblast,Sergeant,Infantry,"https://example10.com, https://example9.com, https://example6.com, https://example7.com, https://example8.com, https://example1.com, https://example3.com, https://example4.com"
3264,Ihor Bondarenko Vasyl'ovych,"September 28, 1983","October 15, 2023","May 25, 2023",Zhytomyr Oblast,Kyiv Oblast,Senior soldier,Battalion 1,"https://example7.com, https://example6.com, https://example10.com, https://example7.com, https://example1.com, https://example4.com, https://example3.com, https://example8.com"
3265,Mykola Hrytsenko Mykolayovych,"February 23, 1992","July 06, 2023",?,Donetsk Oblast,Zhytomyr Oblast,Colonel,Battalion 2,"https://example9.com, https://example6.com, https://example2.com, https://example3.com"
3266,Mykola Tkachuk Serhiyovych,"May 10, 1961","March 22, 2022",?,Donetsk Oblast,Donetsk Oblast,Senior soldier,Battalion 1,"https://example4.com, https://example10.com, https://example8.com, https://example10.com, https://example9.com, https://example10.com, https://example2.com"
3267,Oleh Shevchenko Yuriyovych,"February 01, 1984","September 23, 2023","January 19, 2022","Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast",Chernivtsi Oblast,Lieutenant,Special Forces,"https://example7.com, https://example10.com, https://example7.com, https://example7.com, https://example3.com, https://example8.com, https://example4.com"
3268,Yuriy Shevchenko Volodymyrovych,"October 23, 1980","May 20, 2022","January 17, 2023",Donetsk Oblast,Lviv Oblast,Private,Battalion 2,"https://example10.com, https://example2.com, https://example9.com, https://example8.com, https://example9.com, https://example6.com, https://example6.com"
3269,Serhiy Tkachuk Romanovych,"June 03, 1973","January 06, 2023","March 15, 2024","Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast",Donetsk Oblast,Private,Battalion 1,"https://example1.com, https://example2.com, https://example2.com, https://example2.com"
3270,Volodymyr Bibikov Mykolayovych,"February 13, 1986","December 31, 2023","August 01, 2024",Chernivtsi Oblast,Chernivtsi Oblast,Major,Recon Squad,"https://example7.com, https://example10.com, https://example1.com, https://example6.com, https://example4.com, https://example6.com, https://example7.com, https://example2.com"
3271,Serhiy Zinchenko Oleksandrovych,"October 16, 1988","May 31, 2024",?,Zhytomyr Oblast,Donetsk Oblast,Private,Special Forces,"https://example6.com, https://example5.com, https://example5.com, https://example8.com, https://example7.com, https://example6.com, https://example5.com"
3272,Ihor Hrytsenko Serhiyovych,"November 08, 1982","August 14, 2024",?,Odesa Oblast,"Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Colonel,Special Forces,"https://example4.com, https://example4.com, https://example1.com, https://example6.com"
3273,Volodymyr Hrytsenko Romanovych,"November 29, 1982","April 01, 2022",?,"Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast","Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast",Lieutenant,Special Forces,"https://example8.com, https://example5.com, https://example4.com, https://example6.com, https://example5.com, https://example6.com"
3274,Serhiy Tkachuk Vasyl'ovych,"July 06, 1968","June 15, 2022",?,Lviv Oblast,"Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Private,Unknown,"https://example4.com, https://example4.com, https://example7.com, https://example2.com, https://example9.com"
3275,Yuriy Tkachuk Volodymyrovych,"February 25, 1969","November 11, 2024",?,Donetsk Oblast,"Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Colonel,Unknown,"https://example4.com, https://example4.com, https://example5.com, https://example4.com, https://example2.com, https://example4.com, https://example1.com"
3276,Yuriy Tkachuk Mykhailovych,"November 08, 1968","October 10, 2023","January 18, 2023",Kyiv Oblast,"Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Major,Recon Squad,"https://example7.com, https://example3.com, https://example3.com"
3277,Oleksandr Kravchenko Ivanovych,"April 06, 1980","October 04, 2023",?,Odesa Oblast,Odesa Oblast,Private,Battalion 1,"https://example2.com, https://example10.com, https://example8.com, https://example10.com, https://example2.com, https://example6.com, https://example10.com, https://example9.com"
3278,Oleh Zinchenko Volodymyrovych,"September 20, 1983","January 31, 2023",?,Donetsk Oblast,Zhytomyr Oblast,Colonel,Unknown,"https://example6.com, https://example3.com, https://example8.com, https://example3.com"
3279,Dmytro Bondarenko Romanovych,"December 18, 1977","October 12, 2023","June 24, 2024",Donetsk Oblast,Chernivtsi Oblast,Captain,Recon Squad,"https://example10.com, https://example9.com, https://example8.com, https://example4.com, https://example7.com"
3280,Oleksandr Sakalo Volodymyrovych,"February 23, 1972","November 04, 2022","December 08, 2024",Chernivtsi Oblast,"Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast",Senior soldier,Special Forces,"https://example1.com, https://example7.com, https://example4.com"
3281,Yuriy Tkachuk Oleksandrovych,"October 26, 1961","October 04, 2023","April 05, 2022","Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Kyiv Oblast,Private,Special Forces,"https://example8.com, https://example3.com, https://example1.com, https://example4.com, https://example9.com, https://example5.com"
3282,Oleh Tkachuk Romanovych,"June 30, 1978","April 12, 2022",?,"Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast",Donetsk Oblast,Major,Battalion 1,"https://example7.com, https://example10.com, https://example5.com, https://example9.com, https://example9.com, https://example1.com, https://example1.com"
3283,Mykola Tkachuk Ivanovych,"November 13, 1967","October 30, 2022","February 20, 2023",Odesa Oblast,"Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Major,Infantry,"https://example8.com, https://example2.com, https://example7.com, https://example2.com, https://example6.com, https://example2.com, https://example9.com, https://example7.com"
3284,Volodymyr Lysenko Vasyl'ovych,"May 15, 1994","August 04, 2022","May 24, 2024",Donetsk Oblast,Kyiv Oblast,Lieutenant,Recon Squad,"https://example2.com, https://example10.com, https://example7.com, https://example9.com, https://example7.com, https://example6.com"
3285,Volodymyr Hrytsenko Volodymyrovych,"May 17, 1995","January 01, 2022",?,Donetsk Oblast,Kyiv Oblast,Private,Unknown,"https://example3.com, https://example2.com, https://example1.com, https://example10.com, https://example9.com, https://example4.com, https://example9.com"
3286,Volodymyr Bondarenko Petrovych,"May 18, 1964","August 25, 2022","August 11, 2024",Donetsk Oblast,Kharkiv Oblast,Captain,Battalion 2,"https://example10.com, https://example9.com, https://example5.com, https://example4.com"
3287,Oleksandr Bondarenko Mykolayovych,"February 05, 1990","September 15, 2023","July 08, 2022","Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Kyiv Oblast,Captain,Special Forces,"https://example4.com, https://example1.com, https://example9.com, https://example8.com, https://example9.com, https://example9.com, https://example7.com, https://example2.com"
3288,Ihor Bondarenko Volodymyrovych,"December 27, 1985","April 07, 2024","April 20, 2023","Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Chernivtsi Oblast,Senior soldier,Special Forces,"https://example6.com, https://example9.com, https://example6.com, https://example5.com, https://example2.com, https://example6.com"
3289,Serhiy Bibikov Oleksandrovych,"January 28, 1990","April 07, 2024",?,Chernivtsi Oblast,Lviv Oblast,Lieutenant,Battalion 2,"https://example1.com, https://example6.com, https://example4.com, https://example1.com, https://example4.com"
3290,Yuriy Kravchenko Vasyl'ovych,"September 04, 1967","January 31, 2023","October 06, 2023",Odesa Oblast,Donetsk Oblast,Senior soldier,Special Forces,"https://example5.com, https://example2.com, https://example9.com, https://example10.com, https://example2.com, https://example6.com"
3291,Serhiy Shevchenko Ivanovych,"July 21, 1960","October 29, 2024",?,Kharkiv Oblast,Lviv Oblast,Senior soldier,Infantry,"https://example5.com, https://example4.com, https://example1.com, https://example4.com, https://example4.com, https://example1.com, https://example2.com, https://example6.com"
3292,Yuriy Lysenko Serhiyovych,"July 28, 1981","June 24, 2023","November 24, 2024","Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Donetsk Oblast,Lieutenant,Battalion 2,"https://example3.com, https://example6.com, https://example7.com, https://example10.com"
3293,Volodymyr Zinchenko Romanovych,"February 19, 1963","February 17, 2022","February 05, 2024","Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast",Lviv Oblast,Sergeant,Recon Squad,"https://example1.com, https://example5.com, https://example10.com, https://example5.com, https://example10.com, https://example3.com, https://example6.com"
3294,Serhiy Hrytsenko Oleksandrovych,"May 14, 1998","January 21, 2023",?,Lviv Oblast,Lviv Oblast,Sergeant,Recon Squad,"https://example2.com, https://example1.com, https://example3.com, https://example9.com, https://example4.com, https://example8.com, https://example5.com, https://example3.com"
3295,Volodymyr Zinchenko Volodymyrovych,"July 22, 1995","October 17, 2023","August 14, 2022",Kharkiv Oblast,Zhytomyr Oblast,Colonel,Recon Squad,"https://example7.com, https://example8.com, https://example10.com, https://example7.com, https://example2.com, https://example9.com, https://example4.com"
3296,Oleh Tkachuk Yuriyovych,"April 04, 1970","May 08, 2024","December 23, 2022",Kyiv Oblast,Chernivtsi Oblast,Senior soldier,Battalion 2,"https://example10.com, https://example5.com, https://example5.com, https://example4.com, https://example10.com, https://example8.com"
3297,Mykola Kravchenko Ivanovych,"September 23, 1987","May 11, 2023","March 02, 2023",Chernivtsi Oblast,Chernivtsi Oblast,Private,Infantry,"https://example3.com, https://example1.com, https://example1.com, https://example9.com"
3298,Roman Hrytsenko Serhiyovych,"May 05, 1984","September 08, 2024",?,Chernivtsi Oblast,Chernivtsi Oblast,Senior soldier,Special Forces,"https://example7.com, https://example1.com, https://example8.com, https://example4.com"
3299,Ihor Tkachuk Vasyl'ovych,"July 04, 1965","December 06, 2024","May 05, 2024","Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast","Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast",Colonel,Recon Squad,"https://example1.com, https://example4.com, https://example1.com, https://example3.com, https://example1.com, https://example10.com, https://example2.com"
3300,Oleh Bibikov Yuriyovych,"July 03, 1980","October 11, 2024","April 13, 2024",Donetsk Oblast,Lviv Oblast,Major,Special Forces,"https://example2.com, https://example5.com, https://example2.com, https://example10.com"
3301,Volodymyr Lysenko Mykolayovych,"May 02, 1986","October 07, 2023",?,Chernivtsi Oblast,Odesa Oblast,Major,Battalion 2,"https://example10.com, https://example10.com, https://example9.com"
3302,Oleh Kravchenko Volodymyrovych,"April 08, 1965","September 13, 2022",?,Odesa Oblast,Chernivtsi Oblast,Senior soldier,Battalion 2,"https://example7.com, https://example10.com, https://example1.com, https://example8.com, https://example6.com"
3303,Andrij Kovalenko Serhiyovych,"November 23, 1961","January 07, 2024",?,Chernivtsi Oblast,Lviv Oblast,Lieutenant,Battalion 1,"https://example4.com, https://example1.com, https://example1.com, https://example5.com, https://example8.com, https://example4.com"
3304,Volodymyr Hrytsenko Serhiyovych,"May 25, 1964","December 16, 2024","June 10, 2022",Zhytomyr Oblast,Donetsk Oblast,Colonel,Battalion 1,"https://example10.com, https://example9.com, https://example8.com"
3305,Ihor Bibikov Romanovych,"December 11, 1986","January 16, 2023","April 14, 2024",Zhytomyr Oblast,"Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast",Lieutenant,Infantry,"https://example3.com, https://example8.com, https://example5.com"
3306,Oleh Zinchenko Ivanovych,"January 28, 1976","September 29, 2023","January 21, 2023",Zhytomyr Oblast,Kyiv Oblast,Lieutenant,Special Forces,"https://example2.com, https://example1.com, https://example4.com, https://example7.com, https://example2.com, https://example1.com"
3307,Dmytro Lysenko Oleksandrovych,"January 05, 1967","May 22, 2023",?,"Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast",Kharkiv Oblast,Sergeant,Battalion 1,"https://example1.com, https://example1.com, https://example5.com, https://example5.com, https://example1.com"
3308,Andrij Bibikov Serhiyovych,"March 10, 1970","September 23, 2023",?,"Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Odesa Oblast,Sergeant,Battalion 2,"https://example3.com, https://example9.com, https://example4.com, https://example3.com"
